"job_title","job_description","salary_string"
Spa Therapist,"· High school qualification with minimum 2 years of relevant experience or Bachelor’s degree or equivalent with minimum 1 year of relevant experience
· Massage diploma from a recognized school/training center
· Beauty therapy qualification or barber qualification
· Experience working as a massage therapist, skincare therapist and/or barber in a luxury establishment or with luxury skincare brand
· Willing to work on a flexible schedule, including nights and weekends.
· Fundamental knowledge of barbering is an advantage.
· Knowledge of high-tech treatment devices is an advantage.
· Knowledge of Arabic language is an advantage.
Job Type: Temporary
Contract length: 6 months
Salary: QAR4,000.00 - QAR5,000.00 per month
Ability to commute/relocate:
Doha: Reliably commute or planning to relocate before starting work (Preferred)
Experience:
relevant: 1 year (Required)
Application Deadline: 20/02/2023","QAR 4,000 - QAR 5,000 a month"
Registered Triage Nurse NHS (Relocation Package),"Triage Nurse (Registered Nurse) – Unique Opportunity for Accelerated Career Progression - South Western Ambulance Service (SWAST) – NHS Devon, UK
We are the Devon Alliance for International Recruitment and we are part of NHS. We are delighted to work alongside South Western Ambulance Service NHS Foundation Trust (SWAST) to recruit Registered Nurses to join their Emergency Operation Centres as a Triage Nurse based in their Emergency Operation Centre in Exeter, Devon in the beautiful south west of England, UK.
Unique Opportunity – Triage Nurse (Registered Nurse)
We are recruiting Registered Nurses to join SWAST’s Emergency Operation Centres as a ‘Triage Nurse’. As a Triage Nurse, you will be responsible for providing clinical advice and guidance to colleagues, patients and service users via telephone triage to establish appropriate care pathways.
This role is part of a wider team of clinical professionals, including Doctors, Paramedics and Specialist Practitioners. You will provide remote clinical support via telephone, and support decision making with emergency ambulance crews who are on the scene with patients.
Progression opportunity:
Upon obtaining your NMC UK PIN you will progress into a Band 6 Triage Nurse £33,706 to £40,588pa (rather than a Band 5 general Registered Nurse) with the scope to progress to a Band 7 Senior Nurse £41,659 to £47,672 pa within 12 to 24 months. This is a rare and unique opportunity for international Nurses to join South Western Ambulance Service NHS Foundation Trust at this exciting time. The South Western Ambulance Service NHS Foundation Trust has also committed to a 5-year employment visa for the successful candidate, with the option to apply for permanent residency after the initial 5-year term.
Interview and required work experience:
The right candidate will have IELTS at level 7.0 or OET at a B, be confident in communicating using the telephone, and have a minimum of 2 years’ experience in a critical or emergency care setting. All Registered Nurses must also register with the UK’s Nursing and Midwifery Council (NMC):
For an insight into the day in the life of a Triage Nurse, please follow this link to see a short video; Join Us, https://www.youtube.com/watch?v=io4DnDAN9BQ
SWAST – Exeter, Devon UK
The South Western Ambulance Service (SWAST) is responsible for providing ambulance services for the National Health Service across South West England. SWAST responds to medical emergencies at all times of the day and night, operating a 24-hour clinical response to urgent ‘999’ calls to ensure patients receive the right care as quickly as possible – wherever and whenever they need it!
SWAST’s Emergency Operation Centre, where you will be working, is located in the city of Exeter. Exeter is situated on the River Exe and is a small, historic city which is full of character and has a great cultural scene. Exeter is the capital city of Devon and provides the county with a central base for education, medicine, religion, commerce and culture. It has an array of historic architecture, including Roman ruins, the historical Guildhall and most notably the Cathedral, St Peter's Cathedral which dates back to the 12th century and sits at the heart of the city, dominating the skyline.
Our generous offer includes:
· Sponsorship and paid visa
· Paid flight to the UK
· Band 6 salary (£33,706 to £40,588pa), on receipt of NMC PIN
· 2 months free accommodation (single person accommodation) is provided
· Airport transfers, food vouchers, phone card and bank account
· Free accommodation for two months
· NMC registration and IELTS/OET fees reimbursed
· Full pastoral package
· Free healthcare and schooling
· Opportunities for career development
· Eligibility to apply for family visa
· And much more!
We will hold virtual interviews in 2023 over MS Teams - we hope to meet you then!
www.devon-alliance.com
NB: We adhere to the World Health Organisation's guidelines on ethical recruitment. If you are in one of the 47 countries which is on the 'Red' or 'Amber' list, we are truly sorry but we cannot accept your application.
Job Types: Full-time, Permanent
Salary: QAR148,490.01 - QAR178,808.29 per year
COVID-19 considerations:
Virtual Interviews
Experience:
Nursing in an Emergency setting: 2 years (Required)
License/Certification:
Nursing License (Required)
IELTS at 7.0 or OET at B (Required)","QAR 148,490 - QAR 178,808 a year"
Sales & Marketing specialist - Food & Beverage,"● Minimum Experience of 3 Years in F&B Devision
● Gaining comprehensive knowledge of the company products, branding guidelines, production lines, and vision, in order to promote the company products to B2B & B2C clients
● Developing and implementing marketing campaigns, including creating advertisements, conducting market research, and creating sales presentations
● Developing and implementing sales plans, including identifying target clients and creating sales strategies based on their needs
● Planning and managing company photo/video shooting, brochures, flyers, or other printed materials used in promotions
● Managing company website and social media accounts, keeping them active and interactive and responding to customers’ requests and concerns
● Creating interesting social media content and post it in daily basis
● Identifying potential clients and building relationships with them through phone calls, emails, and face-to-face meetings
● Establishing pricing for products based on market conditions, competitor pricing and management advice
● Creating a budget for a campaign and maintaining records of expenses and revenues
● Engaging in post-sale activities such as follow-up communication with customers to ensure satisfaction with products or services
● Preparing weekly or monthly reports to line manager and CEO
● Providing information about products and services to customers over the phone or in person
● Coordinating sales activities with other departments such as accounting or kitchen
● Attending business meetings and representing the company by phones, emails, or in person
● And any other Request From the Manager Related to this Position
Job Types: Full-time, Contract
Contract length: 24 months
Salary: QAR5,000.00 - QAR6,000.00 per month
Ability to commute/relocate:
Doha: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
F&B: 3 years (Preferred)
Language:
Both Arabic & English (Preferred)
License/Certification:
Driving License (Preferred)","QAR 5,000 - QAR 6,000 a month"
Food Service Crew (Female),"LOCAL HIRE (Must be in Doha-Qatar)
Preferably FEMALE
Performs a wide range of duties involved with preparing and/or serving foods and beverages
Assist in cleaning work areas, equipment, utensils.
May assist in the set up, and service; and collection of garbage/trash; as appropriate to the area of operation
May serve food to customers and/or perform cashiering duties, as appropriate.
Job Type: Full-time
Salary: From QAR2,500.00 per month
Application Question(s):
Are you in Doha-Qatar?
Experience:
Food Service Crew: 1 year (Preferred)","QAR 2,500 a month"
Digital Print Operator,"We are hiring - Digital Print Operator
QAR 3500 + accommodation + transportation
Male
Minimum 2 - 3 years relevant experience
Office - C Ring
8am to 5pm Fri and Sat OFF
QID with NOC is preferred
Visa holders will be accepted as well
Job Type: Permanent
Salary: QAR3,400.00 - QAR3,500.00 per month
Experience:
Digital print operator: 2 years (Preferred)","QAR 3,400 - QAR 3,500 a month"
Digital Marketing,"We are looking for a creative, analytical and experienced Digital Marketing Specialist to join our team! As a Digital Marketing Specialist, you will be responsible for all digital marketing campaigns, including generating leads, conducting market research and actively engaging with the business to optimize the performance of our digital strategies.
Digital Marketing Specialist duties and responsibilities
Developing and implementing a digital marketing strategy
Creating visual concepts for promotional activities
Managing the digital marketing calendar
Maintaining the online presence and reputation of the company
Overseeing the creation and maintenance of social media content
Tracking digital marketing performance
Creating and updating digital marketing reports
Overseeing the digital marketing budget
Creating and updating digital marketing content and post
Digital Marketing Specialist requirements and qualifications
Minimum of a Bachelor’s Degree in Marketing or similar field
Minimum of 2 years of experience as a Digital Marketing Specialist or similar role
Experience with digital marketing automation software
Experience with Google Ads and Google Analytics
Knowledge of web publishing
Proficiency with SEO tools
Superb verbal and written communication skills
Strong interpersonal skills
Strong problem-solving skills
Ability to work well in a team environment
Strong time management skills
Excellent multitasking skills
Strong analytical skills
Highly developed attention to detail
Ability to work in a fast-paced environment
Ability to prioritize tasks and meet deadlines
Dealing with social media platforms
Company sector
Facilities Management, Maintenance, cleaning and security
Job Type: Permanent
Salary: QAR3,000.00 - QAR5,000.00 per month
Ability to commute/relocate:
Doha: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Digital Marketing (Preferred)
Language:
English (Preferred)
Arabic (Preferred)
Application Deadline: 26/02/2023","QAR 3,000 - QAR 5,000 a month"
Cashier (PhilippinesMale),"We are looking for an efficient, courteous cashier who possesses excellent customer service skills.
Salary: 3000 QAR full package (NO NEGOTIABLE)
Male preferred
PhilippinesNationalities preferred
Can join Immediately
Must have atleast 2 years experience
Good communication
Transferable visa
Job Type: Full-time
Salary: QAR3,000.00 per month
Application Question(s):
Are you currently residing in Qatar?
Nationality
Education:
Bachelor's (Required)
Experience:
Cashier: 2 years (Required)
License/Certification:
QID (Required)","QAR 3,000 a month"
Project Planner,"Who we are
esadore International Investments focuses on key segments of the Built Environment Industry (BEI), Our various subsidiaries are niche product or service providers enabling an out of the box solution to an old industry ready to move into the future.
Our subsidiaries:
Nareta - manufacturer of thermal wellness facilities
modDsys - pushing boundaries through modular construction
We are committed to creating unique, world-class projects while delivering extraordinary experiences through visual, functional and service-orientated journeys.
The job
We are currently looking for a motivated and highly organised Project Planner to join and support our team at modDsys.
You will play a vital role in ensuring that projects stay on schedule and within budget. The role involves the production of programmes for Design, Procurement, Construction, Installation & Commissioning activities for each project from tender through to completion, as well as reviewing the
You key responsibilities include, but are not limited to:
Outline the scope of projects, including determining the start and delivery dates
Create and define project goals and objectives
Analyze each phase of projects, providing meaningful data to determine budgets
Co-ordination of input from all departments into the project schedule
Monitor progress of project schedules with site teams, highlight areas of concern and introduce mitigation measures
Liaise with site teams as to assist them with planning matters and regarding input into programme development
Collate progress information, prepare and present internal and external project reports for stakeholders
Identify and communicate changes in the project plan to stakeholders
Assist the project manager to improve performance and efficiency
What you’ll need to bring
You are well-versed in MS Office (Word, Excel, etc.)
You have experience using Primavera P6 or MS projects
You hold a qualification in related field
You confidently demonstrate of knowledge and practical application of planning and construction activities
You have an excellent track record of project planning and knowledge of quality control principles, ideally within construction or manufacturing
You have strong organizational and problem-solving skills
You are an excellent communicator
Job Type: Full-time
Salary: AED10,000.00 - AED15,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Do you have experience using Primavera P6 or MS Projects?
Experience:
project planning: 3 years (Required)","AED10,000 - AED15,000 a month"
Female security Guard,"Responsible of controlling, monitoring and authorizing entrance and departure of employees, visitors, and other persons. Patrolling the Embassy and staff Residences. Checking for suspicious packages etc.
Job Types: Full-time, Permanent
Salary: From AED2,200.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)","AED2,200 a month"
Collections Executive,"Our client are a multi-award winning luxury real estate development group and one of the biggest brands in Dubai!
Due to their continued success and further exponential growth planned for 2023, they have opportunities for multiple Collections Executives and Managers to join the team. As a Collections Executive, you will be responsible for reaching out to customers to collect payment for overdue bills, loans, or other payments.
Acting as the liaison between creditors and customers, your work will directly empower the delivery of key projects throughout Dubai.
Some of the Perks:
Competitive salaries, ranging from 120-180 AED + bonus + commission.
30 days holiday.
Fantastic location and luxury offices.
An outstanding training and mentoring programme.
Opportunities to progress within a market leading business.
The Role
Speak to clients and negotiate payment plans that suit their current financial situation.
Locate and contact clients, primarily over the phone, in order to talk with them about their debts and advise their various payment options.
Ensure all client files/system are updated, recording times and dates, and noting information that customers have received about their debt.
Demonstrate compliance to organisation’s values and ethics at all times to support the establishment of a value drive culture.
Assist in the preparation of timely and accurate statements and reports to meet department requirements, policies, and quality standards.
Key Requirements:
Degree educated.
2 years relevant experience (preferably working in Dubai).
Proficiency in MS Office.
Preferred knowledge of Salesforce.
Able to apply learning, adapt and build relationships.
A positive, proactive and can-do attitude.
Hardworking and driven, with a confident style and passion for excellent customer service.
If you want to join the group shaping the future of Dubai - APPLY NOW!
Job Types: Full-time, Permanent
Salary: AED8,000.00 - AED10,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
What are your monthly salary expectations?
Expected Start Date: 28/03/2023","AED8,000 - AED10,000 a month"
