Experience,Job Type,Location,Education Level,Major,Level,Industry,Salary_in_USD
1.0,Temporary,Qatar,Unknown,IT & Computer Science,Assistant,Other,1236.263736263736
2.0,Full-time,Unknown,Bachelor,Healthcare & Nursing,Unknown,Healthcare,3746.5430402930397
3.0,Full-time,Unknown,Bachelor,Sales & Marketing,Mid,Food & Beverage,1510.989010989011
1.0,Full-time,Unknown,Unknown,Food & Beverage,Junior,Hospitality,686.8131868131867
2.0,Full-time,Unknown,Unknown,IT & Computer Science,Unknown,Other,947.8021978021977
2.0,Full-time,Unknown,Bachelor,Sales & Marketing,Unknown,Other,1098.9010989010987
2.0,Full-time,Unknown,Bachelor,Other,Unknown,Retail,824.1758241758241
3.0,Full-time,UAE,Unknown,Other,Unknown,Manufacturing,3405.9945504087195
0.0,Full-time,UAE,Unknown,IT & Computer Science,Junior,Other,599.4550408719347
2.0,Full-time,UAE,Bachelor,Business,Unknown,Real Estate,2452.316076294278
1.0,Full-time,UAE,Unknown,Other,Unknown,Other,817.574931880109
0.0,Full-time,UAE,Bachelor,Finance & Accounting,Executive,Other,11580.381471389646
5.0,Full-time,UAE,Bachelor,Business,Manager,Real Estate,3814.713896457766
0.0,Full-time,UAE,Unknown,Other,Unknown,Retail,1907.356948228883
5.0,Full-time,UAE,Unknown,Business,Unknown,Other,681.198910081744
1.0,Full-time,UAE,Unknown,Other,Junior,Retail,613.0790190735695
0.0,Full-time,UAE,Unknown,Business,Junior,Retail,681.198910081744
0.0,Full-time,UAE,Unknown,Other,Unknown,Retail,681.198910081744
3.0,Temporary,UAE,Unknown,Other,Lead,Technology,1634.8773841961854
3.0,Full-time,UAE,Unknown,Business,Unknown,Recreation,1226.158038147139
2.0,Full-time,UAE,Unknown,Business,Assistant,Other,1771.1171662125341
5.0,Full-time,UAE,Bachelor,Other,Unknown,Technology,1294.2779291553136
1.0,Full-time,UAE,Unknown,Sales & Marketing,Unknown,Retail,613.0790190735695
2.0,Full-time,UAE,College,Business,Unknown,Technology,1498.6376021798367
1.0,Full-time,UAE,Unknown,Real Estate & Construction,Unknown,Real Estate,1634.8773841961854
2.0,Full-time,UAE,Bachelor,Other,Junior,Retail,953.6784741144415
5.0,Full-time,UAE,Unknown,Business,Manager,Services,2724.795640326976
0.0,Full-time,UAE,Unknown,Other,Executive,Technology,408.71934604904635
0.0,Temporary,UAE,Unknown,Other,Lead,Technology,817.4386920980927
2.0,Full-time,UAE,Bachelor,Other,Mid,Education,3269.754768392371
1.0,Full-time,UAE,Unknown,Other,Unknown,Technology,681.198910081744
0.0,Full-time,UAE,Bachelor,Sales & Marketing,Executive,Other,1021.7983651226159
2.0,Full-time,UAE,Bachelor,IT & Computer Science,Assistant,Other,885.5585831062671
